;Kunst og teknologi;Informationsvidenskab;Dansk;Engelsk;Historie;International Virksomhedskommunikation i Engelsk;International Virksomhedskommunikation i Spansk;International Virksomhedskommunikation i Tysk;Sprog og internationale studier, engelsk, spansk;Psykologi
sproglige fag;2;2;8;8;6;10;10;10;8;3
at laese Engelske tekster;6;3;4;10;7;9;3;3;8;6
litteraer analysere;5;4;9;9;8;3;3;3;6;3
historie;6;2;6;6;10;2;2;2;7;2
at snakke fremmedsprog?;4;3;2;9;3;10;10;10;9;4
udenlandsk kultur;7;2;4;8;9;7;7;7;8;2
at analysere mennesker;6;7;4;4;6;7;7;7;3;10
internationalt samarbajede;4;9;2;3;3;9;9;9;8;4
kreativt arbejde;9;2;3;3;4;2;2;2;2;7
tvaerfagligt samarbejde;8;8;3;3;3;8;8;8;4;5
teknologi;8;8;2;4;2;6;6;6;2;2
